circuitId,circuitRef,name,location,country,n_corners,elev_change,max_alt,length,lat,lng,alt,url
1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,16,2.6,10.1,5.278,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit
2,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,15,22,49.7,5.543,2.76083,101.738,,http://en.wikipedia.org/wiki/Sepang_International_Circuit
3,bahrain,Bahrain International Circuit,Sakhir,Bahrain,15,16.9,0.9,5.412,26.0325,50.5106,,http://en.wikipedia.org/wiki/Bahrain_International_Circuit
4,catalunya,Circuit de Barcelona-Catalunya,MontmelÌ_,Spain,16,29.6,192.3,4.657,41.57,2.26111,,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya
5,istanbul,Istanbul Park,Istanbul,Turkey,14,,,5.338,40.9517,29.405,,http://en.wikipedia.org/wiki/Istanbul_Park
6,monaco,Circuit de Monaco,Monte-Carlo,Monaco,19,42,89.5,3.337,43.7347,7.42056,,http://en.wikipedia.org/wiki/Circuit_de_Monaco
7,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,14,5.2,17.8,4.361,45.5,-73.5228,,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
8,magny_cours,Circuit de Nevers Magny-Cours,Magny Cours,France,17,,,4.411,46.8642,3.16361,,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours
9,silverstone,Silverstone Circuit,Silverstone,UK,18,11.3,207.5,5.891,52.0786,-1.01694,,http://en.wikipedia.org/wiki/Silverstone_Circuit
10,hockenheimring,Hockenheimring,Hockenheim,Germany,17,4.3,152.5,4.574,49.3278,8.56583,,http://en.wikipedia.org/wiki/Hockenheimring
11,hungaroring,Hungaroring,Budapest,Hungary,14,34.7,238.9,4.381,47.5789,19.2486,,http://en.wikipedia.org/wiki/Hungaroring
12,valencia,Valencia Street Circuit,Valencia,Spain,25,,,5.419,39.4589,-0.331667,,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
13,spa,Circuit de Spa-Francorchamps,Spa,Belgium,19,102.2,467.8,7.004,50.4372,5.97139,,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
14,monza,Autodromo Nazionale di Monza,Monza,Italy,11,12.8,153.2,5.793,45.6156,9.28111,,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
15,marina_bay,Marina Bay Street Circuit,Marina Bay,Singapore,23,5.3,23,4.94,1.2914,103.864,,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit
16,fuji,Fuji Speedway,Oyama,Japan,16,,,4.563,35.3717,138.927,,http://en.wikipedia.org/wiki/Fuji_Speedway
17,shanghai,Shanghai International Circuit,Shanghai,China,16,7.4,21.1,5.451,31.3389,121.22,,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
18,interlagos,AutÌ_dromo JosÌ© Carlos Pace,SÌ£o Paulo,Brazil,15,43,781.9,4.309,-23.7036,-46.6997,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace
19,indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,13,,,4.192,39.795,-86.2347,,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway
20,nurburgring,NÌ_rburgring,NÌ_rburg,Germany,15,,,5.148,50.3356,6.9475,,http://en.wikipedia.org/wiki/N%C3%BCrburgring
21,imola,Autodromo Enzo e Dino Ferrari,Imola,Italy,19,,,4.909,44.3439,11.7167,,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari
22,suzuka,Suzuka Circuit,Suzuka,Japan,18,40.4,94.4,5.807,34.8431,136.541,,http://en.wikipedia.org/wiki/Suzuka_Circuit
23,osterreichring,A1-Ring,Spielburg,Austria,10,63.5,784.9,4.318,47.2197,14.7647,,http://en.wikipedia.org/wiki/A1-Ring
24,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,21,10.7,20,5.281,24.4672,54.6031,,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
25,galvez,AutÌ_dromo Juan y Oscar GÌÁlvez,Buenos Aires,Argentina,18,,,4.259,-34.6943,-58.4593,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Oscar_Alfredo_G%C3%A1lvez
26,jerez,Circuito de Jerez,Jerez de la Frontera,Spain,12,,,4.428,36.7083,-6.03417,,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez
27,estoril,AutÌ_dromo do Estoril,Estoril,Portugal,13,,,4.36,38.7506,-9.39417,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril
28,okayama,Okayama International Circuit,Okayama,Japan,13,,,3.703,34.915,134.221,,http://en.wikipedia.org/wiki/TI_Circuit
29,adelaide,Adelaide Street Circuit,Adelaide,Australia,16,,,3.78,-34.9272,138.617,,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit
30,kyalami,Kyalami,Midrand,South Africa,13,,,4.261,-25.9894,28.0767,,http://en.wikipedia.org/wiki/Kyalami
31,donington,Donington Park,Castle Donington,UK,11,,,4.02,52.8306,-1.37528,,http://en.wikipedia.org/wiki/Donington_Park
32,rodriguez,AutÌ_dromo Hermanos RodrÌ_guez,Mexico City,Mexico,17,2.8,2229,4.304,19.4042,-99.0907,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
33,phoenix,Phoenix street circuit,Phoenix,USA,15,,,3.72,33.4479,-112.075,,http://en.wikipedia.org/wiki/Phoenix_street_circuit
34,ricard,Circuit Paul Ricard,Le Castellet,France,15,,,5.842,43.2506,5.79167,,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
35,yeongam,Korean International Circuit,Yeongam County,Korea,18,,,5.615,34.7333,126.417,,http://en.wikipedia.org/wiki/Korean_International_Circuit
36,jacarepagua,AutÌ_dromo Internacional Nelson Piquet,Rio de Janeiro,Brazil,17,,,5.031,-22.9756,-43.395,,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet
37,detroit,Detroit Street Circuit,Detroit,USA,18,,,4.168,42.3298,-83.0401,,http://en.wikipedia.org/wiki/Detroit_street_circuit
38,brands_hatch,Brands Hatch,Kent,UK,11,,,4.206,51.3569,0.263056,,http://en.wikipedia.org/wiki/Brands_Hatch
39,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,14,,,4.259,52.3888,4.54092,,http://en.wikipedia.org/wiki/Circuit_Zandvoort
40,zolder,Zolder,Heusden-Zolder,Belgium,10,,,4.262,50.9894,5.25694,,http://en.wikipedia.org/wiki/Zolder
41,dijon,Dijon-Prenois,Dijon,France,12,,,3.886,47.3625,4.89913,,http://en.wikipedia.org/wiki/Dijon-Prenois
